Origin,Dest,flights,delay_rate,avg_arr_delay,avg_risk,distance,route_share_to_dest,route_share_from_origin
DEN,FLL,450,0.3466666666666667,21.92,0.3421380687770499,1703.0,0.02483169628076371,0.01439861773269766
DEN,IAH,1219,0.24200164068908941,18.029532403609515,0.2719083047249203,862.0,0.0669081727866513,0.03900425559146322
DEN,JFK,304,0.22697368421052633,19.32894736842105,0.18170330381488184,1626.0,0.017571238656725045,0.009727066201644641
DEN,LAS,2112,0.2840909090909091,18.479640151515152,0.32089056743752054,628.0,0.08586063907634767,0.06757751255879435
DEN,LAX,1703,0.20786846741045215,13.614210217263652,0.236095071665155,862.0,0.058490177222145896,0.054490768886186924
DEN,LGA,1087,0.24103035878564857,15.346826126954921,0.26481693269535755,1620.0,0.05334445698581734,0.03478066105653857
DEN,MCO,1239,0.2598870056497175,19.188861985472155,0.2818200437012412,1546.0,0.0451794049008168,0.039644194157360896
DEN,MDW,699,0.27896995708154504,14.723891273247496,0.294897044984736,895.0,0.0681685196021065,0.0223658528781237
DEN,MIA,713,0.34081346423562414,26.520336605890602,0.3225611256517152,1709.0,0.03367178276269185,0.02281380987425207
DEN,MSP,1424,0.18679775280898878,12.14115168539326,0.23625269330527954,680.0,0.09401201558064304,0.04556362589191438
DEN,ORD,1407,0.224591329068941,18.64179104477612,0.2646508319212112,888.0,0.04587544832083469,0.04501967811090135
DEN,PHL,559,0.27906976744186046,17.26118067978533,0.30439784092044847,1558.0,0.037985865724381625,0.017886282916839982
DEN,PHX,2406,0.24064837905236908,13.8595178719867,0.2869629596478974,602.0,0.09608242482328981,0.07698460947749015
DEN,SAN,1209,0.23655913978494625,13.735318444995864,0.28609439900022454,853.0,0.0856353591160221,0.038684286308514386
DEN,SEA,1395,0.24086021505376345,13.812903225806451,0.2663465728360961,1024.0,0.08109993605022964,0.04463571497136275
DEN,SFO,1179,0.453774385072095,31.587786259541986,0.37912370189270356,967.0,0.06104696318541915,0.03772437845966787
DEN,SLC,2001,0.23238380809595202,14.571214392803599,0.26131493798783884,391.0,0.1254466804589054,0.06402585351806227
DEN,TPA,914,0.2713347921225383,18.2417943107221,0.2932097757739054,1506.0,0.05923525599481529,0.029245192461523694
DFW,ATL,1482,0.26653171390013497,23.842780026990553,0.2502847209359517,731.0,0.04286086126615959,0.05373069393082445
DFW,AUS,1221,0.29811629811629814,24.63963963963964,0.31619556175322966,190.0,0.08199033037872683,0.0442680008701327
DFW,BNA,800,0.31625,22.4475,0.3012805564179307,631.0,0.04871513822920472,0.029004423174534118
DFW,BOS,851,0.28319623971797886,22.06227967097532,0.2921953565895174,1562.0,0.036245155245112654,0.030853455151910666
DFW,BWI,375,0.344,22.658666666666665,0.335291494651833,1217.0,0.030033637674195098,0.013595823363062868
DFW,CLT,985,0.2649746192893401,20.48020304568528,0.27226880309422824,936.0,0.045955024727069145,0.03571169603364513
DFW,DCA,790,0.2708860759493671,18.81139240506329,0.2885688340744027,1192.0,0.04435710275126333,0.02864186788485244
DFW,DEN,1378,0.25181422351233673,19.57256894049347,0.2661579136827715,641.0,0.044117176244597406,0.04996011891813502
DFW,DTW,759,0.2160737812911726,17.74308300395257,0.227323359766815,986.0,0.04387536851841147,0.027517946486839244
DFW,EWR,820,0.21097560975609755,15.27560975609756,0.2023921156797992,1372.0,0.04440593523231886,0.029729533753897468
DFW,FLL,776,0.30927835051546393,20.8840206185567,0.2958696744457848,1119.0,0.042820880697494755,0.028134290479298094
DFW,IAH,1135,0.2422907488986784,19.619383259911896,0.26162577284443295,224.0,0.06229760140512652,0.041150025378870275
DFW,JFK,449,0.22271714922049,19.256124721603562,0.24835130861236557,1391.0,0.025952257094965608,0.016278732506707274
DFW,LAS,1519,0.315339038841343,25.14351547070441,0.33298667865673226,1055.0,0.061752988047808766,0.055072148502646655
DFW,LAX,1600,0.2675,17.2525,0.29274014558784883,1235.0,0.05495260337958511,0.058008846349068235
DFW,LGA,1390,0.22661870503597123,17.866187050359713,0.2277576209669166,1389.0,0.06821416302694214,0.050395185265753026
DFW,MCO,1306,0.32924961715160794,26.65084226646248,0.3022554475322307,985.0,0.047622520420070015,0.047349720832426945
DFW,MDW,118,0.1694915254237288,14.872881355932204,0.18477037525793374,797.0,0.01150770431051297,0.004278152418243782
DFW,MIA,1259,0.3200953137410643,24.465448768864178,0.3071125666637361,1121.0,0.059456906729634,0.04564571097092306
DFW,MSP,687,0.22270742358078602,17.358078602620086,0.2049585195330646,852.0,0.045355515943751236,0.02490754840113117
